"","agent","X","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","prev_std","load_std","Stock","plot.agent"
"389","my_arc",1133,"Seymour",2013,2107,2011,"SR_cov_resid",0.461501545221233,37,24,0.648648648648649,227.621573123,147.646425809514,-0.0602106358808938,-0.453900408868298,"Seymour","M. arcticus"
"390","my_arc",1134,"Seymour",2015,2109,2013,"SR_cov_resid",-2.09607030824499,42,7,0.166666666666667,1191.42389129086,198.570648548476,-1.8921624980047,-0.452954446247548,"Seymour","M. arcticus"
"391","my_arc",1140,"Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,32,19,0.59375,8371.336773833,4970.48120946334,-0.268873377185885,-0.445907431440573,"Stellako","M. arcticus"
"392","my_arc",1141,"Stellako",2014,2175,2012,"SR_cov_resid",-2.60983882500887,14,7,0.5,1401.11289471514,700.556447357571,-0.625205135414406,-0.452748638525899,"Stellako","M. arcticus"
"393","my_arc",1142,"Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,12,1,0.0833333333333333,321.5734491,26.797787425,-2.20890183865228,-0.45380819601391,"Stellako","M. arcticus"
"394","nu_sal",1160,"Chilko",2009,1307,2007,"SR_cov_resid",-0.164515041914484,26,2,0.0769230769230769,0.2704788275,0.0208060636538462,2.98155961277075,-0.0463083700280608,"Chilko","N. salmonis"
"395","nu_sal",1161,"Chilko",2010,1308,2008,"SR_cov_resid",-0.261094571360216,47,0,0,NA,NA,-0.394599795375387,NA,"Chilko","N. salmonis"
"396","nu_sal",1162,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,12,0,0,NA,NA,-0.394599795375387,NA,"Chilko","N. salmonis"
"397","nu_sal",1163,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,28,0,0,NA,NA,-0.394599795375387,NA,"Chilko","N. salmonis"
"398","nu_sal",1164,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,126,1,0.00793650793650794,0.084288547,0.000668956722222222,-0.0462658881857061,-0.97604131695193,"Chilko","N. salmonis"
"399","nu_sal",1166,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,0,0,NA,NA,-0.394599795375387,NA,"Chilko","N. salmonis"
"400","nu_sal",1186,"Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,11,0,0,NA,NA,-0.394599795375387,NA,"Pitt","N. salmonis"
"401","nu_sal",1188,"Pitt",2015,1794,2013,"SR_cov_resid",-0.564502240957588,26,0,0,NA,NA,-0.394599795375387,NA,"Pitt","N. salmonis"
"402","nu_sal",1195,"Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,17,0,0,NA,NA,-0.394599795375387,NA,"Quesnel","N. salmonis"
"403","nu_sal",1197,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,40,2,0.05,0.4844905435,0.024224527175,1.7999038199196,1.02234968697999,"Quesnel","N. salmonis"
"404","nu_sal",1205,"Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,25,0,0,NA,NA,-0.394599795375387,NA,"Scotch","N. salmonis"
"405","nu_sal",1214,"Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,20,0,0,NA,NA,-0.394599795375387,NA,"Seymour","N. salmonis"
"406","nu_sal",1215,"Seymour",2013,2107,2011,"SR_cov_resid",0.461501545221233,14,0,0,NA,NA,-0.394599795375387,NA,"Seymour","N. salmonis"
"407","nu_sal",1216,"Seymour",2015,2109,2013,"SR_cov_resid",-2.09607030824499,29,0,0,NA,NA,-0.394599795375387,NA,"Seymour","N. salmonis"
"408","nu_sal",1224,"Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,11,0,0,NA,NA,-0.394599795375387,NA,"Stellako","N. salmonis"
"409","pa_kab",1235,"Birkenhead",2013,1177,2011,"SR_cov_resid",-0.493983139331974,23,9,0.391304347826087,74.2387702986667,29.0499535951304,1.06311635255866,-0.263119259097293,"Birkenhead","P. kabatai"
"410","pa_kab",1237,"Birkenhead",2015,1179,2013,"SR_cov_resid",-0.754015824843491,17,4,0.235294117647059,34.26111596275,8.06143905005882,0.144578237792536,-0.274115878250078,"Birkenhead","P. kabatai"
"411","pa_kab",1242,"Chilko",2009,1307,2007,"SR_cov_resid",-0.164515041914484,26,4,0.153846153846154,531.730779755,81.8047353469231,-0.334961206738582,-0.13727732372106,"Chilko","P. kabatai"
"412","pa_kab",1243,"Chilko",2010,1308,2008,"SR_cov_resid",-0.261094571360216,62,2,0.032258064516129,3.945000043,0.127258065903226,-1.0508328147931,-0.282454906302099,"Chilko","P. kabatai"
"413","pa_kab",1244,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,74,7,0.0945945945945946,151.115417825571,14.2947016862027,-0.683815352197031,-0.241972865477175,"Chilko","P. kabatai"
"414","pa_kab",1245,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,31,6,0.193548387096774,1073.89746571683,207.851122396806,-0.101207212271802,0.0118560024304362,"Chilko","P. kabatai"
"415","pa_kab",1246,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,510,212,0.415686274509804,70.8690394656038,29.4592869935451,1.20666930382812,-0.264046168072673,"Chilko","P. kabatai"
"416","pa_kab",1247,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,51,12,0.235294117647059,43.7609606538333,10.2966966244314,0.144578237792536,-0.271502764103844,"Chilko","P. kabatai"
"417","pa_kab",1248,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,72,5,0.0694444444444444,5.7095883456,0.396499190666667,-0.831891356434023,-0.28196952250839,"Chilko","P. kabatai"
"418","pa_kab",1249,"Chilko",2016,1314,2014,"SR_cov_resid",0.658775634082524,20,0,0,NA,NA,-1.24075793529736,NA,"Chilko","P. kabatai"
"419","pa_kab",1250,"Chilko",2017,1315,2015,"SR_cov_resid",-1.67763415630698,12,5,0.416666666666667,24.857238064,10.3571825266667,1.21244153788267,-0.276702594892904,"Chilko","P. kabatai"
"420","pa_kab",1251,"Chilko",2018,1316,2016,"SR_cov_resid",-2.54325003204444,12,1,0.0833333333333333,85.54322747,7.12860228916667,-0.750118040661356,-0.260009751741068,"Chilko","P. kabatai"
"421","pa_kab",1256,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,15,7,0.466666666666667,76.7676559541429,35.8249061119333,1.50682547466427,-0.262423640685053,"Gates","P. kabatai"
"422","pa_kab",1262,"Nadina",2014,1726,2012,"SR_cov_resid",-0.822405912433752,24,3,0.125,4803.95502978,600.4943787225,-0.504798093343353,1.037879743226,"Nadina","P. kabatai"
"423","pa_kab",1268,"Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,45,23,0.511111111111111,41.0617422386087,20.9871126997333,1.7685000851368,-0.272245235802483,"Pitt","P. kabatai"
"424","pa_kab",1269,"Pitt",2014,1793,2012,"SR_cov_resid",0.156150326932456,13,4,0.307692307692308,77.01056868175,23.6955595943846,0.570835521820197,-0.262356822889031,"Pitt","P. kabatai"
"425","pa_kab",1270,"Pitt",2015,1794,2013,"SR_cov_resid",-0.564502240957588,32,1,0.03125,0.510794142,0.0159623169375,-1.05676797480886,-0.283399550379218,"Pitt","P. kabatai"
"426","pa_kab",1276,"Quesnel",2011,1920,2009,"SR_cov_resid",-0.394221253181931,20,2,0.1,7.1317771095,0.71317771095,-0.651990061734155,-0.281578322262658,"Quesnel","P. kabatai"
"427","pa_kab",1277,"Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,18,3,0.166666666666667,2.57084995633333,0.428474992722222,-0.259478146025349,-0.28283289259001,"Quesnel","P. kabatai"
"428","pa_kab",1278,"Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,38,14,0.368421052631579,100.425551558714,36.9988874163684,0.928386862040766,-0.255916083594939,"Quesnel","P. kabatai"
"429","pa_kab",1279,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,158,17,0.107594936708861,18577.3063787538,1998.82410404313,-0.607273514374922,4.82650370724114,"Quesnel","P. kabatai"
"430","pa_kab",1280,"Quesnel",2016,1925,2014,"SR_cov_resid",0.626351354981836,32,0,0,NA,NA,-1.24075793529736,NA,"Quesnel","P. kabatai"
"431","pa_kab",1287,"Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,28,5,0.178571428571429,13.2342475602,2.36325849289286,-0.189386732505919,-0.279899720940189,"Scotch","P. kabatai"
"432","pa_kab",1291,"Scotch",2016,2043,2014,"SR_cov_resid",1.03152074279853,12,0,0,NA,NA,-1.24075793529736,NA,"Scotch","P. kabatai"
"433","pa_kab",1296,"Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,24,3,0.125,12.8339305563333,1.60424131954167,-0.504798093343353,-0.280009835795726,"Seymour","P. kabatai"
"434","pa_kab",1297,"Seymour",2013,2107,2011,"SR_cov_resid",0.461501545221233,36,22,0.611111111111111,118.642081058818,72.5034939803889,2.35726795870001,-0.250905278420756,"Seymour","P. kabatai"
"435","pa_kab",1298,"Seymour",2015,2109,2013,"SR_cov_resid",-2.09607030824499,42,3,0.0714285714285714,34.72767211,2.48054800785714,-0.820209454180785,-0.273987543050079,"Seymour","P. kabatai"
"436","pa_kab",1304,"Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,32,14,0.4375,102.441833364714,44.8183020970625,1.33510151154166,-0.255361466684728,"Stellako","P. kabatai"
"437","pa_kab",1305,"Stellako",2014,2175,2012,"SR_cov_resid",-2.60983882500887,14,2,0.142857142857143,1602.206402457,228.886628922429,-0.399660973064209,0.157177489367332,"Stellako","P. kabatai"
"438","pa_kab",1306,"Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,12,3,0.25,160.725185160333,40.1812962900833,0.231161748610654,-0.23932951500345,"Stellako","P. kabatai"
"439","pa_min",1317,"Birkenhead",2013,1177,2011,"SR_cov_resid",-0.493983139331974,23,19,0.826086956521739,24511.5057887874,20248.6352168244,0.842031892544262,-0.235744406623376,"Birkenhead","P. minibicornis"
"440","pa_min",1319,"Birkenhead",2015,1179,2013,"SR_cov_resid",-0.754015824843491,17,17,1,525706.864134941,525706.864134941,1.47883680373542,-0.1216472538639,"Birkenhead","P. minibicornis"
