"","V1","V2","V3"
"b[(Intercept) Stock:L.Shuswap]","0.99947165313454","ce_sha","Rhat"
"b[prev_std Stock:L.Shuswap]","1.00130031892185","ce_sha","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.00028968175654","ce_sha","Rhat"
"b[prev_std Stock:L.Stuart]","0.999282702670522","ce_sha","Rhat"
"b[(Intercept) Stock:Nadina]","1.00026425768375","ce_sha","Rhat"
"b[prev_std Stock:Nadina]","0.999746011173578","ce_sha","Rhat"
"b[(Intercept) Stock:Pitt]","1.00027066620324","ce_sha","Rhat"
"b[prev_std Stock:Pitt]","0.999621338398736","ce_sha","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00105938498875","ce_sha","Rhat"
"b[prev_std Stock:Quesnel]","1.00132263445345","ce_sha","Rhat"
"b[(Intercept) Stock:Raft]","0.999717561848576","ce_sha","Rhat"
"b[prev_std Stock:Raft]","1.00019450182172","ce_sha","Rhat"
"b[(Intercept) Stock:Scotch]","1.00027775603958","ce_sha","Rhat"
"b[prev_std Stock:Scotch]","1.00011245258456","ce_sha","Rhat"
"b[(Intercept) Stock:Seymour]","1.00117987494743","ce_sha","Rhat"
"b[prev_std Stock:Seymour]","1.0003430797146","ce_sha","Rhat"
"b[(Intercept) Stock:Stellako]","1.00004426901129","ce_sha","Rhat"
"b[prev_std Stock:Stellako]","1.00122597933479","ce_sha","Rhat"
"b[(Intercept) Stock:Weaver]","0.999475580244665","ce_sha","Rhat"
"b[prev_std Stock:Weaver]","1.00020237739876","ce_sha","Rhat"
"b[(Intercept) Year:2008]","0.999733432871053","ce_sha","Rhat"
"b[(Intercept) Year:2009]","0.999611966424626","ce_sha","Rhat"
"b[(Intercept) Year:2010]","0.999682449165494","ce_sha","Rhat"
"b[(Intercept) Year:2011]","0.999482268158395","ce_sha","Rhat"
"b[(Intercept) Year:2012]","1.00028314467738","ce_sha","Rhat"
"b[(Intercept) Year:2013]","1.00017649725536","ce_sha","Rhat"
"b[(Intercept) Year:2014]","0.999890502138296","ce_sha","Rhat"
"b[(Intercept) Year:2015]","0.999875507622792","ce_sha","Rhat"
"b[(Intercept) Year:2016]","0.999359634706255","ce_sha","Rhat"
"b[(Intercept) Year:2017]","0.999826924868049","ce_sha","Rhat"
"b[(Intercept) Year:2018]","1.00072367801498","ce_sha","Rhat"
"sigma","1.00069395764372","ce_sha","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00083378299689","ce_sha","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00053729005999","ce_sha","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00101495108757","ce_sha","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00175870146604","ce_sha","Rhat"
"mean_PPD","0.999587659025594","ce_sha","Rhat"
"log-posterior","1.00242300149532","ce_sha","Rhat"
"prev_std","1.00040150378869","de_sal","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00039280515223","de_sal","Rhat"
"b[prev_std Stock:Birkenhead]","0.999645058684721","de_sal","Rhat"
"b[(Intercept) Stock:Bowron]","1.00048988531464","de_sal","Rhat"
"b[prev_std Stock:Bowron]","1.00042087164212","de_sal","Rhat"
"b[(Intercept) Stock:Chilko]","0.999415557717356","de_sal","Rhat"
"b[prev_std Stock:Chilko]","0.999390773746601","de_sal","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999458160811697","de_sal","Rhat"
"b[prev_std Stock:E.Stuart]","1.00021674689117","de_sal","Rhat"
"b[(Intercept) Stock:Gates]","0.999639599101811","de_sal","Rhat"
"b[prev_std Stock:Gates]","1.0008577366058","de_sal","Rhat"
"b[(Intercept) Stock:Harrison]","1.0004743749819","de_sal","Rhat"
"b[prev_std Stock:Harrison]","0.999410799143122","de_sal","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999681715575468","de_sal","Rhat"
"b[prev_std Stock:L.Shuswap]","0.999649259750371","de_sal","Rhat"
"b[(Intercept) Stock:L.Stuart]","0.999816578985444","de_sal","Rhat"
"b[prev_std Stock:L.Stuart]","0.999847467842929","de_sal","Rhat"
"b[(Intercept) Stock:Nadina]","1.00056446911445","de_sal","Rhat"
"b[prev_std Stock:Nadina]","1.00043591150006","de_sal","Rhat"
"b[(Intercept) Stock:Pitt]","1.00072488178679","de_sal","Rhat"
"b[prev_std Stock:Pitt]","0.999577011187046","de_sal","Rhat"
"b[(Intercept) Stock:Quesnel]","0.999298570477816","de_sal","Rhat"
"b[prev_std Stock:Quesnel]","1.00024367254631","de_sal","Rhat"
"b[(Intercept) Stock:Raft]","0.999367627111158","de_sal","Rhat"
"b[prev_std Stock:Raft]","0.999697167600239","de_sal","Rhat"
"b[(Intercept) Stock:Scotch]","1.00024159274336","de_sal","Rhat"
"b[prev_std Stock:Scotch]","1.0003221109731","de_sal","Rhat"
"b[(Intercept) Stock:Seymour]","0.999691978146917","de_sal","Rhat"
"b[prev_std Stock:Seymour]","0.999737504723187","de_sal","Rhat"
"b[(Intercept) Stock:Stellako]","0.999731695461849","de_sal","Rhat"
"b[prev_std Stock:Stellako]","0.999931124424004","de_sal","Rhat"
"b[(Intercept) Stock:Weaver]","0.999636005825252","de_sal","Rhat"
"b[prev_std Stock:Weaver]","0.999141219977699","de_sal","Rhat"
"b[(Intercept) Year:2008]","0.99950389850315","de_sal","Rhat"
"b[(Intercept) Year:2009]","0.999661153694222","de_sal","Rhat"
"b[(Intercept) Year:2010]","0.999182359486447","de_sal","Rhat"
"b[(Intercept) Year:2011]","0.99967205625111","de_sal","Rhat"
"b[(Intercept) Year:2012]","0.999499318725376","de_sal","Rhat"
"b[(Intercept) Year:2013]","0.999923967510306","de_sal","Rhat"
"b[(Intercept) Year:2014]","1.00052337846539","de_sal","Rhat"
"b[(Intercept) Year:2015]","0.999292424855716","de_sal","Rhat"
"b[(Intercept) Year:2016]","1.00059628527527","de_sal","Rhat"
"b[(Intercept) Year:2017]","1.00042761865128","de_sal","Rhat"
"b[(Intercept) Year:2018]","1.00185910125137","de_sal","Rhat"
"sigma","0.99969450184801","de_sal","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","0.999694580272692","de_sal","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00043611653676","de_sal","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00030394039473","de_sal","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00063244534398","de_sal","Rhat"
"mean_PPD","1.00086301590503","de_sal","Rhat"
"log-posterior","1.00135069086917","de_sal","Rhat"
"prev_std","1.00058280374206","fa_mar","Rhat"
"b[(Intercept) Stock:Birkenhead]","0.999613301918941","fa_mar","Rhat"
"b[prev_std Stock:Birkenhead]","0.999566438472653","fa_mar","Rhat"
"b[(Intercept) Stock:Bowron]","0.999316208627202","fa_mar","Rhat"
"b[prev_std Stock:Bowron]","0.999682744769137","fa_mar","Rhat"
"b[(Intercept) Stock:Chilko]","0.99984789030329","fa_mar","Rhat"
"b[prev_std Stock:Chilko]","1.00004708302816","fa_mar","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.99957254988881","fa_mar","Rhat"
"b[prev_std Stock:E.Stuart]","0.999418670083359","fa_mar","Rhat"
"b[(Intercept) Stock:Gates]","1.00016591461348","fa_mar","Rhat"
"b[prev_std Stock:Gates]","0.999517256146278","fa_mar","Rhat"
"b[(Intercept) Stock:Harrison]","0.999791445017786","fa_mar","Rhat"
"b[prev_std Stock:Harrison]","1.00074573024974","fa_mar","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999453937464371","fa_mar","Rhat"
"b[prev_std Stock:L.Shuswap]","1.00007975072183","fa_mar","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.00140541453797","fa_mar","Rhat"
"b[prev_std Stock:L.Stuart]","1.00010934214609","fa_mar","Rhat"
"b[(Intercept) Stock:Nadina]","0.999679865037847","fa_mar","Rhat"
"b[prev_std Stock:Nadina]","1.00017181832183","fa_mar","Rhat"
"b[(Intercept) Stock:Pitt]","1.0000064424988","fa_mar","Rhat"
"b[prev_std Stock:Pitt]","0.999179580885457","fa_mar","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00042566804233","fa_mar","Rhat"
"b[prev_std Stock:Quesnel]","1.00120395188166","fa_mar","Rhat"
"b[(Intercept) Stock:Raft]","0.999992049069383","fa_mar","Rhat"
"b[prev_std Stock:Raft]","0.999272785041562","fa_mar","Rhat"
"b[(Intercept) Stock:Scotch]","1.00219279610828","fa_mar","Rhat"
"b[prev_std Stock:Scotch]","0.999848158559866","fa_mar","Rhat"
"b[(Intercept) Stock:Seymour]","0.999467546456485","fa_mar","Rhat"
"b[prev_std Stock:Seymour]","0.999498352394669","fa_mar","Rhat"
"b[(Intercept) Stock:Stellako]","1.00150790352533","fa_mar","Rhat"
"b[prev_std Stock:Stellako]","1.00010955864451","fa_mar","Rhat"
"b[(Intercept) Stock:Weaver]","0.999401281922435","fa_mar","Rhat"
"b[prev_std Stock:Weaver]","1.00004054012992","fa_mar","Rhat"
"b[(Intercept) Year:2008]","0.999656377068961","fa_mar","Rhat"
"b[(Intercept) Year:2009]","0.999284618581088","fa_mar","Rhat"
"b[(Intercept) Year:2010]","1.00146593125935","fa_mar","Rhat"
"b[(Intercept) Year:2011]","0.999948774199111","fa_mar","Rhat"
"b[(Intercept) Year:2012]","1.00027509213337","fa_mar","Rhat"
"b[(Intercept) Year:2013]","0.999968930613352","fa_mar","Rhat"
"b[(Intercept) Year:2014]","0.999614696651006","fa_mar","Rhat"
"b[(Intercept) Year:2015]","1.00065337469078","fa_mar","Rhat"
"b[(Intercept) Year:2016]","0.999104356943726","fa_mar","Rhat"
"b[(Intercept) Year:2017]","1.0004942141073","fa_mar","Rhat"
"b[(Intercept) Year:2018]","1.0019381723957","fa_mar","Rhat"
"sigma","1.00201782112944","fa_mar","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00203701019142","fa_mar","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00051260622424","fa_mar","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00040711450602","fa_mar","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00156521748639","fa_mar","Rhat"
"mean_PPD","0.999773821425155","fa_mar","Rhat"
"log-posterior","1.00231850058749","fa_mar","Rhat"
"prev_std","1.0014946546687","fl_psy","Rhat"
"b[(Intercept) Stock:Birkenhead]","0.999783716368598","fl_psy","Rhat"
"b[prev_std Stock:Birkenhead]","0.999860769744058","fl_psy","Rhat"
"b[(Intercept) Stock:Bowron]","0.99974415413344","fl_psy","Rhat"
"b[prev_std Stock:Bowron]","1.00044919755682","fl_psy","Rhat"
"b[(Intercept) Stock:Chilko]","0.99968919183385","fl_psy","Rhat"
"b[prev_std Stock:Chilko]","1.00106846255904","fl_psy","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999978334763012","fl_psy","Rhat"
"b[prev_std Stock:E.Stuart]","1.00016918012954","fl_psy","Rhat"
"b[(Intercept) Stock:Gates]","0.999206436396896","fl_psy","Rhat"
"b[prev_std Stock:Gates]","0.999429097398476","fl_psy","Rhat"
"b[(Intercept) Stock:Harrison]","0.999535655169262","fl_psy","Rhat"
"b[prev_std Stock:Harrison]","0.99953705816814","fl_psy","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999922813763958","fl_psy","Rhat"
"b[prev_std Stock:L.Shuswap]","1.00188378404811","fl_psy","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.00013500515785","fl_psy","Rhat"
"b[prev_std Stock:L.Stuart]","0.999480499696466","fl_psy","Rhat"
"b[(Intercept) Stock:Nadina]","0.999788175989905","fl_psy","Rhat"
"b[prev_std Stock:Nadina]","1.00012509415637","fl_psy","Rhat"
"b[(Intercept) Stock:Pitt]","0.999857888466662","fl_psy","Rhat"
"b[prev_std Stock:Pitt]","1.0011359123075","fl_psy","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00164469050617","fl_psy","Rhat"
"b[prev_std Stock:Quesnel]","0.999623473336194","fl_psy","Rhat"
"b[(Intercept) Stock:Raft]","1.00024638341762","fl_psy","Rhat"
