"","V1","V2","V3"
"b[(Intercept) Stock:Stellako]","6903","my_arc","Neff"
"b[load_std Stock:Stellako]","4282","my_arc","Neff"
"b[(Intercept) Stock:Weaver]","5017","my_arc","Neff"
"b[load_std Stock:Weaver]","3833","my_arc","Neff"
"b[(Intercept) Year:2009]","2748","my_arc","Neff"
"b[(Intercept) Year:2010]","4698","my_arc","Neff"
"b[(Intercept) Year:2011]","4580","my_arc","Neff"
"b[(Intercept) Year:2012]","5143","my_arc","Neff"
"b[(Intercept) Year:2013]","3493","my_arc","Neff"
"b[(Intercept) Year:2014]","3903","my_arc","Neff"
"b[(Intercept) Year:2015]","2310","my_arc","Neff"
"b[(Intercept) Year:2016]","2103","my_arc","Neff"
"sigma","1940","my_arc","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1339","my_arc","Neff"
"Sigma[Stock:load_std,(Intercept)]","3503","my_arc","Neff"
"Sigma[Stock:load_std,load_std]","2761","my_arc","Neff"
"Sigma[Year:(Intercept),(Intercept)]","1951","my_arc","Neff"
"mean_PPD","4202","my_arc","Neff"
"log-posterior","657","my_arc","Neff"
"load_std","2304","c_b_cys","Neff"
"sst_anom","2021","c_b_cys","Neff"
"b[(Intercept) Stock:Birkenhead]","3111","c_b_cys","Neff"
"b[load_std Stock:Birkenhead]","2033","c_b_cys","Neff"
"b[(Intercept) Stock:Bowron]","4572","c_b_cys","Neff"
"b[load_std Stock:Bowron]","3978","c_b_cys","Neff"
"b[(Intercept) Stock:Chilko]","3056","c_b_cys","Neff"
"b[load_std Stock:Chilko]","2798","c_b_cys","Neff"
"b[(Intercept) Stock:E.Stuart]","4119","c_b_cys","Neff"
"b[load_std Stock:E.Stuart]","3560","c_b_cys","Neff"
"b[(Intercept) Stock:Gates]","2438","c_b_cys","Neff"
"b[load_std Stock:Gates]","3332","c_b_cys","Neff"
"b[(Intercept) Stock:Harrison]","4299","c_b_cys","Neff"
"b[load_std Stock:Harrison]","2914","c_b_cys","Neff"
"b[(Intercept) Stock:L.Shuswap]","2824","c_b_cys","Neff"
"b[load_std Stock:L.Shuswap]","4158","c_b_cys","Neff"
"b[(Intercept) Stock:L.Stuart]","3955","c_b_cys","Neff"
"b[load_std Stock:L.Stuart]","3978","c_b_cys","Neff"
"b[(Intercept) Stock:Nadina]","3507","c_b_cys","Neff"
"b[load_std Stock:Nadina]","4586","c_b_cys","Neff"
"b[(Intercept) Stock:Pitt]","2863","c_b_cys","Neff"
"b[load_std Stock:Pitt]","3685","c_b_cys","Neff"
"b[(Intercept) Stock:Quesnel]","2467","c_b_cys","Neff"
"b[load_std Stock:Quesnel]","2271","c_b_cys","Neff"
"b[(Intercept) Stock:Raft]","5136","c_b_cys","Neff"
"b[load_std Stock:Raft]","3350","c_b_cys","Neff"
"b[(Intercept) Stock:Scotch]","3345","c_b_cys","Neff"
"b[load_std Stock:Scotch]","3658","c_b_cys","Neff"
"b[(Intercept) Stock:Seymour]","2787","c_b_cys","Neff"
"b[load_std Stock:Seymour]","3752","c_b_cys","Neff"
"b[(Intercept) Stock:Stellako]","2788","c_b_cys","Neff"
"b[load_std Stock:Stellako]","2980","c_b_cys","Neff"
"b[(Intercept) Stock:Weaver]","3298","c_b_cys","Neff"
"b[load_std Stock:Weaver]","3686","c_b_cys","Neff"
"b[(Intercept) Year:2009]","2484","c_b_cys","Neff"
"b[(Intercept) Year:2010]","4837","c_b_cys","Neff"
"b[(Intercept) Year:2011]","2719","c_b_cys","Neff"
"b[(Intercept) Year:2012]","2525","c_b_cys","Neff"
"b[(Intercept) Year:2013]","2887","c_b_cys","Neff"
"b[(Intercept) Year:2014]","2229","c_b_cys","Neff"
"b[(Intercept) Year:2015]","2209","c_b_cys","Neff"
"b[(Intercept) Year:2016]","2460","c_b_cys","Neff"
"sigma","2044","c_b_cys","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1599","c_b_cys","Neff"
"Sigma[Stock:load_std,(Intercept)]","2420","c_b_cys","Neff"
"Sigma[Stock:load_std,load_std]","1508","c_b_cys","Neff"
"Sigma[Year:(Intercept),(Intercept)]","2038","c_b_cys","Neff"
"mean_PPD","4257","c_b_cys","Neff"
"log-posterior","890","c_b_cys","Neff"
"load_std","2198","pspv","Neff"
"sst_anom","1744","pspv","Neff"
"b[(Intercept) Stock:Birkenhead]","4830","pspv","Neff"
"b[load_std Stock:Birkenhead]","4483","pspv","Neff"
"b[(Intercept) Stock:Bowron]","3114","pspv","Neff"
"b[load_std Stock:Bowron]","3893","pspv","Neff"
"b[(Intercept) Stock:Chilko]","2279","pspv","Neff"
"b[load_std Stock:Chilko]","3083","pspv","Neff"
"b[(Intercept) Stock:E.Stuart]","2919","pspv","Neff"
"b[load_std Stock:E.Stuart]","2811","pspv","Neff"
"b[(Intercept) Stock:Gates]","1286","pspv","Neff"
"b[load_std Stock:Gates]","1681","pspv","Neff"
"b[(Intercept) Stock:Harrison]","2656","pspv","Neff"
"b[load_std Stock:Harrison]","3163","pspv","Neff"
"b[(Intercept) Stock:L.Shuswap]","3720","pspv","Neff"
"b[load_std Stock:L.Shuswap]","2871","pspv","Neff"
"b[(Intercept) Stock:L.Stuart]","3687","pspv","Neff"
"b[load_std Stock:L.Stuart]","3123","pspv","Neff"
"b[(Intercept) Stock:Nadina]","3350","pspv","Neff"
"b[load_std Stock:Nadina]","2914","pspv","Neff"
"b[(Intercept) Stock:Pitt]","1792","pspv","Neff"
"b[load_std Stock:Pitt]","2927","pspv","Neff"
"b[(Intercept) Stock:Portage]","2550","pspv","Neff"
"b[load_std Stock:Portage]","3204","pspv","Neff"
"b[(Intercept) Stock:Quesnel]","3669","pspv","Neff"
"b[load_std Stock:Quesnel]","2038","pspv","Neff"
"b[(Intercept) Stock:Raft]","2646","pspv","Neff"
"b[load_std Stock:Raft]","2978","pspv","Neff"
"b[(Intercept) Stock:Scotch]","1860","pspv","Neff"
"b[load_std Stock:Scotch]","2260","pspv","Neff"
"b[(Intercept) Stock:Seymour]","2472","pspv","Neff"
"b[load_std Stock:Seymour]","2451","pspv","Neff"
"b[(Intercept) Stock:Stellako]","1804","pspv","Neff"
"b[load_std Stock:Stellako]","3057","pspv","Neff"
"b[(Intercept) Stock:Weaver]","2632","pspv","Neff"
"b[load_std Stock:Weaver]","2765","pspv","Neff"
"b[(Intercept) Year:2009]","3864","pspv","Neff"
"b[(Intercept) Year:2010]","2833","pspv","Neff"
"b[(Intercept) Year:2011]","3203","pspv","Neff"
"b[(Intercept) Year:2012]","2561","pspv","Neff"
"b[(Intercept) Year:2013]","3331","pspv","Neff"
"b[(Intercept) Year:2014]","1822","pspv","Neff"
