"","Latitude","Longitude"
"220",50.30013,-125.333446
"221",50.30013,-125.333446
"222",50.30013,-125.333446
"223",50.30013,-125.333446
"224",50.300205,-125.300029
"225",50.300205,-125.300029
"226",50.300205,-125.300029
"227",50.300205,-125.300029
"228",49.80163333,-124.5992
"229",49.80163333,-124.5992
"230",49.80163333,-124.5992
"231",50.30626667,-125.32965
"232",50.29528333,-125.4036833
"233",50.29528333,-125.4036833
"234",50.4317,-125.48365
"235",50.4317,-125.48365
"236",50.4317,-125.48365
"237",50.36848333,-125.3758833
"238",50.36848333,-125.3758833
"239",50.4342,-125.3048167
"240",50.4342,-125.3048167
"241",50.30361667,-124.9267667
"242",50.30361667,-124.9267667
"243",50.12436667,-125.2142
"244",50.10676667,-125.0664833
"245",50.10676667,-125.0664833
"246",50.02378333,-125.1484667
"247",50.02378333,-125.1484667
"248",49.94751667,-125.0140333
"249",49.94751667,-125.0140333
"250",49.94751667,-125.0140333
"251",49.80028333,-124.5978
"252",49.80028333,-124.5978
"253",49.80028333,-124.5978
"254",49.45096667,-123.2433667
"255",49.45096667,-123.2433667
"256",49.40023333,-123.25345
"257",50.01866667,-124.9741333
"258",49.4065,-123.6451667
"259",49.45766667,-123.7766667
"260",49.45766667,-123.7766667
"261",50.17155,-125.0773333
"262",49.1615,-123.7155
"263",49.28283333,-123.6453333
"264",49.04383333,-123.7393333
"265",48.75025,-123.3833333
"266",48.73918333,-123.5366
"267",49.45321667,-124.0795
"268",49.45321667,-124.0795
"269",49.50728333,-124.1280667
"270",48.75016667,-123.3858333
"271",48.7205,-123.4556667
"272",48.73883333,-123.5361667
"273",48.89633333,-123.5935
"274",48.89633333,-123.5935
"275",50.30566667,-125.3297333
"276",50.30566667,-125.3297333
"277",50.30566667,-125.3297333
"278",50.30566667,-125.3297333
"279",50.30566667,-125.3297333
"280",50.30566667,-125.3297333
"281",50.30566667,-125.3297333
"282",50.30566667,-125.3297333
"283",50.2951,-125.40535
"284",50.2951,-125.40535
"285",50.36405,-125.3862833
"286",50.42925,-125.4901667
"287",50.47226667,-126.0538667
"288",50.47226667,-126.0538667
"289",50.47226667,-126.0538667
"290",50.47226667,-126.0538667
"291",50.47226667,-126.0538667
"292",50.47226667,-126.0538667
"293",50.47226667,-126.0538667
"294",50.44986667,-126.0856167
"295",50.44986667,-126.0856167
"296",50.44986667,-126.0856167
"297",50.44986667,-126.0856167
"298",50.44986667,-126.0856167
"299",50.40716667,-125.8754333
"300",50.40716667,-125.8754333
"301",50.40716667,-125.8754333
"302",49.92168333,-125.0676833
"303",49.92168333,-125.0676833
"304",49.84841667,-124.9734
"305",49.84841667,-124.9734
"306",49.77538333,-124.9314
"307",49.77683333,-124.8112833
"308",49.55623333,-124.6660333
"309",49.4327,-124.4615167
"310",49.34405,-124.1427667
"311",50.02711667,-125.1495833
"312",49.71761667,-124.6593167
"313",49.59885,-124.72865
"314",49.68586667,-124.5879167
"315",49.68586667,-124.5879167
"316",49.4102,-124.3937667
"317",49.4317,-124.0899667
"318",49.80863333,-124.5440833
"319",49.75548333,-124.5035667
"320",49.6064,-124.20425
"321",49.53215,-124.0923
"322",49.53215,-124.0923
"323",49.0525,-123.4777833
"324",49.30666667,-123.6333333
"325",49.30666667,-123.6333333
"326",49.31833333,-123.8266667
"327",49.21666667,-123.9183333
"328",49.21666667,-123.9183333
"329",49.21666667,-123.9183333
"330",49.39333333,-123.915
"331",49.39333333,-123.915
"332",49.44333333,-123.8916667
"333",49.44333333,-123.8916667
"334",49.44333333,-123.8916667
"335",49.44333333,-123.8916667
"336",49.48833333,-124.08
"337",49.48833333,-124.08
"338",49.48833333,-124.08
"339",49.48833333,-124.08
"340",49.48833333,-124.08
"341",49.48833333,-124.08
"342",49.48833333,-124.08
"343",49.55666667,-124.095
"344",49.55666667,-124.095
"345",49.55666667,-124.095
"346",49.55666667,-124.095
"347",49.62,-124.1466667
"348",49.74166667,-124.3516667
"349",49.825,-124.58
"350",49.93166667,-124.915
"351",50.33333333,-125.105
"352",50.18666667,-125
"353",49.98166667,-125.1116667
"354",49.89166667,-124.9516667
"355",49.825,-124.985
"356",49.76333333,-124.41
"357",49.76333333,-124.41
"358",49.47658333,-124.0359333
"359",49.44333333,-123.3903167
"360",49.44333333,-123.3903167
"361",49.44333333,-123.3903167
"362",49.44333333,-123.3903167
"363",49.44333333,-123.3903167
"364",49.44333333,-123.3903167
"365",49.44333333,-123.3903167
"366",49.44333333,-123.3903167
"367",49.44333333,-123.3903167
"368",49.44333333,-123.3903167
"369",49.76338333,-124.4455167
"370",49.50531667,-124.0738
"371",49.23091667,-123.8059167
"372",50.18766667,-124.6444167
"373",50.18766667,-124.6444167
"374",49.96833333,-125.1483333
"375",49.97666667,-124.9883333
"376",49.84666667,-124.9666667
"377",49.85833333,-125.035
"378",49.80816667,-124.9664167
"379",49.80816667,-124.9664167
"380",49.80816667,-124.9664167
"381",50.21666667,-125.015
"382",50.165,-125.0216667
"383",50.01166667,-125.1133333
"384",50.01166667,-125.1133333
"385",49.7812,-124.8186
"386",49.7812,-124.8186
"387",49.7812,-124.8186
"388",49.7812,-124.8186
"389",49.83833333,-124.78
"390",49.83833333,-124.78
"391",49.83833333,-124.78
"392",49.83833333,-124.78
"393",49.76585,-124.7108833
"394",49.76585,-124.7108833
"395",49.76585,-124.7108833
"396",49.69148333,-124.7639333
"397",49.65333333,-124.825
