"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits","X","Return","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","early_sst_stnd"
1984,6,"Quesnel",6186,"551.1585","",NA,0,0,85,0,6868,0,0,0,0,0,0,6868,6953,NA,"1",551.1585,1098.3516,20053.4434,332288.6324,2.52260579542813,0,1,0,-0.0220454342192144,-0.0757808583676932
1985,6,"Quesnel",1349263,"692790.9537","",46515453.87,0,2870,28135,23700,12137664,0,0,334171,17706,0,993,12517104,12545239,NA,"0.969686279",692790.9537,551.1585,1098.3516,20053.4434,2.89412300842308,0.00211793493930247,0.996391539451739,0.00149052560895811,0.173164684209798,0.242124344071171
1986,6,"Quesnel",181473,"94840.5637","",14683961.32,0,0,41,0,2364628,0,0,168115,0,0,0,2532743,2532784,NA,"0.933623348",94840.5637,692790.9537,551.1585,1098.3516,3.28486097926149,0,1,0,0.0190167505233064,-0.00890992842714266
1987,6,"Quesnel",20559,"11237.6427","",11009225.24,0,0,11,0,119437,0,0,57144,0,0,0,176581,176592,NA,"0.676386474",11237.6427,94840.5637,692790.9537,551.1585,2.75451059634185,0,1,0,0.551989801594467,0.859051768736882
1988,6,"Quesnel",27034,"4184.708","",NA,0,0,0,0,26342,0,0,0,0,0,0,26342,26342,NA,"1",4184.708,11237.6427,94840.5637,692790.9537,1.83972769506847,0,1,0,0.482530806047859,0.745935828753093
1989,6,"Quesnel",1870685,"940528.7292","",58013355.28,0,2122,10417,0,10339444,51,0,280053,9408,0,0,10631027,10641495,NA,"0.972572452",940528.7292,4184.708,11237.6427,94840.5637,2.42508988502264,0.000199408071892154,0.998911713062873,0.000888878865234631,-0.146621098705326,-0.278655853558144
1990,6,"Quesnel",487651,"259271.0977","",5244447.045,0,0,585,0,2946813,0,0,336236,0,0,0,3283049,3283634,NA,"0.897584227",259271.0977,940528.7292,4184.708,11237.6427,2.53865361921558,0,1,0,1.20884967631982,1.92876666430192
1991,6,"Quesnel",46259,"24861.312","",12291054.45,0,0,26,0,100196,0,0,50671,282,0,0,151149,151175,NA,"0.662895553",24861.312,259271.0977,940528.7292,4184.708,1.80495324502613,0,0.998134612204399,0.00186538779560112,0.990121516981534,1.57256166666598
1992,6,"Quesnel",8901,"3046","",NA,0,0,1,0,29213,0,0,0,0,0,0,29213,29214,NA,"1",3046,24861.312,259271.0977,940528.7292,2.26078456120616,0,1,0,0.639499638063847,1.0015640140143
1993,6,"Quesnel",2620757,"1507468.604","",62550415.77,0,282,1642,0,6446036,0,0,398551,4529,0,0,6849398,6851040,NA,"0.941109861",1507468.604,3046,24861.312,259271.0977,1.51372894233217,4.11616338541302e-05,0.999297770849389,0.00066106751675658,1.07444962319825,1.70989237418183
