"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","N+","prev","mean_load","prevload","agent"
"135","L.Shuswap",2014,486,2012,"SR_resid",2.00110064281957,1,1,1,257748.6251,NA,"c_b_cys"
"136","L.Shuswap",2015,487,2013,"SR_resid",-3.21084502361583,93,74,0.795698924731183,42478.272505553,0,"c_b_cys"
"137","L.Shuswap",2016,488,2014,"SR_resid",-0.375699293003899,76,75,0.986842105263158,91246.2623117133,NA,"c_b_cys"
"138","L.Stuart",2011,548,2009,"SR_resid",-0.465229188418885,14,13,0.928571428571429,13523.0511369264,NA,"c_b_cys"
"139","L.Stuart",2014,551,2012,"SR_resid",-1.70954381435929,7,4,0.571428571428571,1809.378969479,NA,"c_b_cys"
"140","L.Stuart",2015,552,2013,"SR_resid",-0.78400170462408,10,8,0.8,4987.7871390675,0,"c_b_cys"
"141","L.Stuart",2016,553,2014,"SR_resid",-0.307344369522045,3,3,1,116.365499303333,NA,"c_b_cys"
"142","Nadina",2010,589,2008,"SR_resid",0.262191956095976,1,1,1,44557.87371,NA,"c_b_cys"
"143","Nadina",2011,590,2009,"SR_resid",-0.422092858758246,3,2,0.666666666666667,1015.3998324065,NA,"c_b_cys"
"144","Nadina",2014,593,2012,"SR_resid",-1.05440346853844,24,17,0.708333333333333,2353.32157484806,NA,"c_b_cys"
"145","Nadina",2015,594,2013,"SR_resid",-2.0479492309041,7,7,1,2960.57124023757,0,"c_b_cys"
"146","Pitt",2010,654,2008,"SR_resid",0.629286548510264,5,1,0.2,3070.564127,NA,"c_b_cys"
"147","Pitt",2011,655,2009,"SR_resid",-0.249717762759789,1,0,0,NA,NA,"c_b_cys"
"148","Pitt",2012,656,2010,"SR_resid",-0.155742343267508,1,1,1,105.3969746,0,"c_b_cys"
"149","Pitt",2013,657,2011,"SR_resid",0.508782527675962,45,34,0.755555555555556,7440.19075789729,0,"c_b_cys"
"150","Pitt",2014,658,2012,"SR_resid",0.146481537253401,13,8,0.615384615384615,40288.2665122806,NA,"c_b_cys"
"151","Pitt",2015,659,2013,"SR_resid",-0.887642039376192,32,22,0.6875,27148.2178364419,0,"c_b_cys"
"152","Portage",2009,714,2007,"SR_resid",-1.12356752307804,1,1,1,5.208606113,NA,"c_b_cys"
"153","Portage",2015,720,2013,"SR_resid",-2.17403600765319,1,1,1,1883.38788,NA,"c_b_cys"
"154","Quesnel",2009,779,2007,"SR_resid",-0.837340686796709,1,1,1,176.672688,NA,"c_b_cys"
