"","stock_name","brood_year","survival_index","value"
"3005","Raft",2010,"lnRS",0.935981010965415
"3006","Raft",2011,"lnRS",-0.390633488233451
"3007","Raft",2012,"lnRS",0.516920876734529
"3008","Raft",2013,"lnRS",-2.60263841907226
"3009","Raft",2014,"lnRS",-1.74608192154533
"3050","Scotch",2006,"lnRS",0.459019105859753
"3051","Scotch",2007,"lnRS",0.20549265934581
"3052","Scotch",2008,"lnRS",1.29024078010625
"3053","Scotch",2009,"lnRS",0.646867038587031
"3054","Scotch",2010,"lnRS",-1.42295400998342
"3055","Scotch",2011,"lnRS",-2.03971487352802
"3056","Scotch",2012,"lnRS",-0.746860563146175
"3057","Scotch",2013,"lnRS",-2.066831246091
"3058","Scotch",2014,"lnRS",-0.800038347217486
"3115","Seymour",2006,"lnRS",0.950240823607736
"3116","Seymour",2007,"lnRS",-0.839328305197552
"3117","Seymour",2008,"lnRS",0.045267223186121
"3118","Seymour",2009,"lnRS",0.558080150601886
"3119","Seymour",2010,"lnRS",-2.00578471107337
"3120","Seymour",2011,"lnRS",-1.38573052714291
"3121","Seymour",2012,"lnRS",-0.836847274629322
"3122","Seymour",2013,"lnRS",-2.61550303313181
"3123","Seymour",2014,"lnRS",-0.313317589714891
"3180","Stellako",2006,"lnRS",-0.249606996569059
"3181","Stellako",2007,"lnRS",-0.0729197857349285
"3182","Stellako",2008,"lnRS",-0.730487761434426
"3183","Stellako",2009,"lnRS",0.538615682443299
"3184","Stellako",2010,"lnRS",0.692325858558503
"3185","Stellako",2011,"lnRS",-1.3050998960051
"3186","Stellako",2012,"lnRS",-2.0800917973511
"3187","Stellako",2013,"lnRS",-1.10646196028399
"3188","Stellako",2014,"lnRS",-1.89277438643671
"3229","Weaver",2006,"lnRS",0.330527209352696
"3230","Weaver",2007,"lnRS",0.440905804580775
"3231","Weaver",2008,"lnRS",1.63662953164459
"3232","Weaver",2009,"lnRS",0.31881718105932
"3233","Weaver",2010,"lnRS",-0.653875296481093
"3234","Weaver",2011,"lnRS",-4.71376210983259
"3235","Weaver",2012,"lnRS",-0.771632627506077
"3236","Weaver",2013,"lnRS",-0.429343076419282
"3237","Weaver",2014,"lnRS",-1.10986656877266
