"","Stock_Analysis","Year","N","posdet","prev","mean_load","prevload","agent"
"298","South Coast",2014,2,1,0.5,287.3522032,143.6761016,"arena2"
"299","South Coast",2018,2,0,0,NA,NA,"arena2"
"300","Stellako",2010,0,0,NA,NA,NA,"arena2"
"301","Stellako",2011,4,1,0.25,0.213186408,0.053296602,"arena2"
"302","Stellako",2012,1,0,0,NA,NA,"arena2"
"303","Stellako",2013,4,1,0.25,0.11861288,0.02965322,"arena2"
"304","Stellako",2014,15,5,0.333333333333333,8.468460128,2.82282004266667,"arena2"
"305","Stellako",2015,11,8,0.727272727272727,378261.964382861,275099.610460262,"arena2"
"306","Stellako",2018,2,0,0,NA,NA,"arena2"
"307","US",2009,3,0,0,NA,NA,"arena2"
"308","US",2010,10,2,0.2,67994.6375672025,13598.9275134405,"arena2"
"309","US",2011,7,1,0.142857142857143,103.2734301,14.7533471571429,"arena2"
"310","US",2012,0,0,NA,NA,NA,"arena2"
"311","US",2013,0,0,NA,NA,NA,"arena2"
"312","US",2014,5,0,0,NA,NA,"arena2"
"313","US",2015,3,0,0,NA,NA,"arena2"
"314","US",2018,6,0,0,NA,NA,"arena2"
"315","VI",2010,1,0,0,NA,NA,"arena2"
"316","VI",2011,1,0,0,NA,NA,"arena2"
"317","VI",2012,0,0,NA,NA,NA,"arena2"
"318","VI",2013,0,0,NA,NA,NA,"arena2"
"319","VI",2014,14,0,0,NA,NA,"arena2"
"320","Weaver",2010,1,0,0,NA,NA,"arena2"
"321","Weaver",2011,3,0,0,NA,NA,"arena2"
"322","Weaver",2012,0,0,NA,NA,NA,"arena2"
"323","Weaver",2015,4,1,0.25,144091.6866,36022.92165,"arena2"
"324","Weaver",2018,1,0,0,NA,NA,"arena2"
"325","Birkenhead",2009,3,0,0,NA,NA,"ascv"
"326","Birkenhead",2010,2,0,0,NA,NA,"ascv"
"327","Birkenhead",2011,5,0,0,NA,NA,"ascv"
"328","Birkenhead",2012,0,0,NA,NA,NA,"ascv"
"329","Birkenhead",2013,0,0,NA,NA,NA,"ascv"
"330","Birkenhead",2014,4,0,0,NA,NA,"ascv"
"331","Birkenhead",2015,4,0,0,NA,NA,"ascv"
"332","Birkenhead",2018,4,0,0,NA,NA,"ascv"
"333","Bowron",2013,0,0,NA,NA,NA,"ascv"
"334","Bowron",2014,0,0,NA,NA,NA,"ascv"
"335","Central Coast",2009,1,0,0,NA,NA,"ascv"
"336","Central Coast",2010,2,0,0,NA,NA,"ascv"
"337","Central Coast",2011,2,0,0,NA,NA,"ascv"
"338","Central Coast",2012,0,0,NA,NA,NA,"ascv"
"339","Central Coast",2013,7,0,0,NA,NA,"ascv"
"340","Central Coast",2014,2,0,0,NA,NA,"ascv"
"341","Central Coast",2018,2,0,0,NA,NA,"ascv"
"342","Chilko",2008,0,0,NA,NA,NA,"ascv"
"343","Chilko",2009,0,0,NA,NA,NA,"ascv"
"344","Chilko",2010,15,0,0,NA,NA,"ascv"
"345","Chilko",2011,61,0,0,NA,NA,"ascv"
"346","Chilko",2012,1,0,0,NA,NA,"ascv"
"347","Chilko",2013,15,1,0.0666666666666667,0.699981508,0.0466654338666667,"ascv"
"348","Chilko",2014,51,0,0,NA,NA,"ascv"
"349","Chilko",2015,29,0,0,NA,NA,"ascv"
"350","Chilko",2016,20,0,0,NA,NA,"ascv"
"351","Chilko",2017,12,0,0,NA,NA,"ascv"
"352","Chilko",2018,12,0,0,NA,NA,"ascv"
"353","Chilliwack",2010,7,0,0,NA,NA,"ascv"
"354","Chilliwack",2013,0,0,NA,NA,NA,"ascv"
"355","Chilliwack",2014,25,0,0,NA,NA,"ascv"
"356","Chilliwack",2016,1,0,0,NA,NA,"ascv"
"357","Chilliwack",2018,8,0,0,NA,NA,"ascv"
"358","Cultus",2011,1,0,0,NA,NA,"ascv"
"359","Cultus",2012,0,0,NA,NA,NA,"ascv"
"360","Cultus",2013,0,0,NA,NA,NA,"ascv"
"361","Cultus",2014,2,0,0,NA,NA,"ascv"
"362","Cultus",2018,1,0,0,NA,NA,"ascv"
"363","Early Stuart",2009,1,0,0,NA,NA,"ascv"
"364","Early Stuart",2010,3,0,0,NA,NA,"ascv"
"365","Early Stuart",2011,22,0,0,NA,NA,"ascv"
"366","Early Stuart",2012,0,0,NA,NA,NA,"ascv"
"367","Early Stuart",2013,0,0,NA,NA,NA,"ascv"
"368","Early Stuart",2014,8,0,0,NA,NA,"ascv"
"369","Early Stuart",2015,11,0,0,NA,NA,"ascv"
"370","Early Stuart",2016,1,0,0,NA,NA,"ascv"
"371","Early Stuart",2017,1,0,0,NA,NA,"ascv"
"372","Early Stuart",2018,2,0,0,NA,NA,"ascv"
