"","Latitude","Longitude"
"189",49.1329,-122.3262
"190",49.1329,-122.3262
"191",49.1329,-122.3262
"192",49.1329,-122.3262
"193",49.1329,-122.3262
"194",49.1329,-122.3262
"195",49.1329,-122.3262
"196",49.1329,-122.3262
"197",49.1329,-122.3262
"198",49.1329,-122.3262
"199",49.1329,-122.3262
"200",49.1329,-122.3262
"201",49.1329,-122.3262
"202",49.1329,-122.3262
"203",49.1329,-122.3262
"204",49.1329,-122.3262
"205",49.1329,-122.3262
"206",49.1329,-122.3262
"207",49.1329,-122.3262
"208",49.1329,-122.3262
"209",49.1329,-122.3262
"210",49.1329,-122.3262
"211",49.1329,-122.3262
"212",49.1329,-122.3262
"213",49.1329,-122.3262
"214",49.1329,-122.3262
"215",49.1329,-122.3262
"216",49.1329,-122.3262
"217",49.1329,-122.3262
"218",49.1329,-122.3262
"219",49.1329,-122.3262
"220",49.1329,-122.3262
"221",49.1329,-122.3262
"222",49.1329,-122.3262
"223",49.1329,-122.3262
"224",49.1329,-122.3262
"225",49.1329,-122.3262
"226",49.1329,-122.3262
"227",49.1329,-122.3262
"228",49.1329,-122.3262
"229",49.1329,-122.3262
"230",49.1329,-122.3262
"231",49.1329,-122.3262
"232",49.1329,-122.3262
"233",49.1329,-122.3262
"234",49.1329,-122.3262
"240",49.1329,-122.3262
"241",49.1329,-122.3262
"242",49.1329,-122.3262
"243",49.1329,-122.3262
"244",49.1329,-122.3262
"245",49.1329,-122.3262
"246",49.1329,-122.3262
"247",49.1329,-122.3262
"248",49.1329,-122.3262
"249",49.1329,-122.3262
"250",49.1329,-122.3262
"251",49.1329,-122.3262
"252",49.1329,-122.3262
"253",49.1329,-122.3262
"254",49.1329,-122.3262
"255",49.1329,-122.3262
"256",49.1329,-122.3262
"257",49.1329,-122.3262
"258",49.1329,-122.3262
"259",49.1329,-122.3262
"260",49.1329,-122.3262
"261",49.1329,-122.3262
"262",49.1329,-122.3262
"263",49.1329,-122.3262
"264",49.1329,-122.3262
"265",49.1329,-122.3262
"266",49.1329,-122.3262
"267",49.1329,-122.3262
"268",49.1329,-122.3262
"269",49.1329,-122.3262
"270",49.1329,-122.3262
"272",49.1329,-122.3262
"273",49.1329,-122.3262
"274",49.1329,-122.3262
"275",49.1329,-122.3262
"276",49.1329,-122.3262
"277",49.1329,-122.3262
"278",49.1329,-122.3262
"279",49.1329,-122.3262
"280",49.1329,-122.3262
"281",49.1329,-122.3262
"282",49.1329,-122.3262
"283",49.1329,-122.3262
"284",49.1329,-122.3262
"285",49.1329,-122.3262
"286",49.1329,-122.3262
