"","X","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent","prev_std","load_std"
"53",107,"Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,11,0,0,NA,NA,"de_sal",-0.554310728288499,NA
"54",108,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,40,0,0,NA,NA,"de_sal",-0.554310728288499,NA
"55",109,"Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,24,2,0.0833333333333333,26797.893662785,2233.15780523208,"de_sal",2.11148969909204,2.22190783964079
"56",112,"Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,30,0,0,NA,NA,"de_sal",-0.554310728288499,NA
"57",114,"Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,30,3,0.1,5497.80614415433,549.780614415433,"de_sal",2.64464978456815,0.0685091920588461
"58",116,"Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,25,0,0,NA,NA,"de_sal",-0.554310728288499,NA
"59",117,"Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,95,0,0,NA,NA,"de_sal",-0.554310728288499,NA
"60",118,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,44,0,0,NA,NA,"de_sal",-0.554310728288499,NA
"61",120,"Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,16,1,0.0625,1.732572415,0.1082857759375,"de_sal",1.44503959224691,-0.487133473073039
"62",121,"Raft",2015,1991,2013,"SR_cov_resid",-1.63954921242504,29,0,0,NA,NA,"de_sal",-0.554310728288499,NA
"63",123,"Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,22,0,0,NA,NA,"de_sal",-0.554310728288499,NA
"64",126,"Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,19,1,0.0526315789473684,0.425362756,0.0223875134736842,"de_sal",1.12935269953079,-0.487265629502412
"65",129,"Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,47,1,0.0212765957446809,1095.957268,23.3182397446809,"de_sal",0.126319168063982,-0.376509421525716
