"","agent","mean.sw","sd.sw","median.sw","lci.sw","mlci.sw","clci.sw","cuci.sw","muci.sw","uci.sw","path_pp.sw","sst_pp_sw","mean.fw","sd.fw","median.fw","lci.fw","mlci.fw","clci.fw","cuci.fw","muci.fw","uci.fw","path_pp.fw","lwr.sw","midlwr.sw","mid.sw","midupp.sw","upp.sw","SW_prev","prop0.sw","lwr.fw","midlwr.fw","mid.fw","midupp.fw","upp.fw","FW_prev","prop0.fw","plot.agent"
"11","lo_sal",0.0568114717013562,0.0198328676752294,0.0567010372160589,0.018951998018436,0.0446833539623517,0.05231082956275,0.0612857428173845,0.0685667130812928,0.0961712876272614,"0.0053","0.999633333333333",0.0301410351712792,0.0231816099065562,0.0274981173482375,-0.00490654273534059,0.0120743127665671,0.0212724563326626,0.0340065847535935,0.0454055372169936,0.0807071347374041,"0.06",-0.433540297063944,-0.0649337298773227,0.123496095303008,0.33581286167269,0.773859278100496,7,0.3445,-0.60068498539254,-0.0639674866471482,0.158101876025456,0.375140798710357,1.07464939793025,1,0.3245,"L. salmonae"
"12","my_arc",0.0103574529544523,0.00921743662934548,0.00900096936086162,-0.00378117935815768,0.00451105304027593,0.00718933296929557,0.0109290491161777,0.0147636695910852,0.0322505107813445,"0.0606","0.9979",-0.00942124262097794,0.0062907253973834,-0.00868560388021787,-0.023338233237477,-0.013435738021361,-0.0104127809919127,-0.00706328929807904,-0.00454866756676935,-5.46539834296665e-05,"0.978333333333333",-0.676303220226779,-0.236205427996865,-0.0543559631786371,0.124548356100714,0.505614518611768,65,0.589,-0.326317197819618,0.0560296969750702,0.242609254552498,0.448009690532945,0.894465538021963,59,0.1855,"M. arcticus"
"13","nu_sal",0.131384545231557,0.547312574747508,0.115476331621918,-1.06112399152411,-0.0713747905260327,0.0511135174401631,0.18029854533902,0.320922137627019,1.40032933736697,"0.3246","0.999766666666667",0.705216508508053,0.512438942813786,0.609332939871787,-0.0290359144826993,0.323613681308856,0.48341590432178,0.748643219488315,1.00555895607173,1.91421188910458,"0.0313666666666667",-0.677407204455381,-0.26711872824649,-0.0962985319371585,0.0922468224448357,0.57648494547726,1,0.6465,NA,NA,NA,NA,NA,0,NA,"N. salmonis"
"14","pa_kab",0.012782549720717,0.0145004863233977,0.0106124312611414,-0.00921695345020959,0.00386931228365517,0.00778979825223717,0.0135685063374117,0.0192966551625171,0.0476669918104663,"0.1165","0.998833333333333",-0.00986008082743639,0.0206325071395582,-0.00791370466112935,-0.0540727732648652,-0.0208882576839547,-0.0123088436545164,-0.00437691475958757,-0.000254922926046261,0.0348726331820714,"0.761833333333333",-0.22364132668698,0.161735472971371,0.395841137597128,0.639566613844415,1.13268317815163,23,0.115,NA,NA,NA,NA,NA,1,NA,"P. kabatai"
"15","pa_min",0.00264835920369512,0.00594570358739705,0.00221421459522146,-0.0103426593136356,0.000468760791857894,0.00145482225713572,0.00300682757669395,0.00485746856393866,0.0150958676600492,"0.184866666666667","0.9979",-0.00556542764855303,0.0067682437826179,-0.00463684546645408,-0.0208355456578827,-0.00911779358546965,-0.00616089610702625,-0.00325496081638448,-0.00141597437155622,0.00740476734709258,"0.873166666666667",-0.30017392249563,0.10665999676768,0.296215674079186,0.487267316335591,0.894923753436188,56,0.1415,-0.377815012776454,0.0245062602202502,0.219126189042968,0.437181125189404,1.07025307443386,10,0.229,"P. minibicornis"
"16","pa_pse",0.00747840610374641,0.01693612594642,0.00744963809762998,-0.0290657533912958,-0.000318101313413368,0.00455775086109894,0.0106443636709394,0.0165015037228687,0.0391759957114242,"0.258566666666667","0.9972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.500589109662605,-0.0854102006938158,0.106967608371456,0.299232575911211,0.68320837248475,12,0.3585,-0.578258277253868,-0.0797259696306357,0.147238855082229,0.408722584280831,1.17136235687338,1,0.329,"P. pseudobranchicola"
"17","pa_ther",0.00905415405588805,0.0129457448191674,0.00733316914456715,-0.0123920546359498,0.00104267255036789,0.00480818660997293,0.0100771593753446,0.0155184513454182,0.039220666317012,"0.209","0.998633333333333",0.0169048423796031,0.0171751434301316,0.0142996236608345,-0.0120972668961515,0.0049881398195439,0.0104858489662504,0.0187270375836679,0.0267597162733901,0.0563667418647017,"0.105733333333333",-0.406483624858829,-0.0413841797661168,0.134691658989923,0.317629253549728,0.72049539439379,75,0.3025,-0.630956639113324,-0.160565370117684,0.0540570088503515,0.288284780047024,0.864956077037508,1,0.4375,"P. theridion"
"18","prv",-0.0224436530527928,0.261333612058903,-0.0134533083432946,-0.52355198282321,-0.0684981612700092,-0.0329794332909431,0.00480591505276646,0.0360183129937714,0.408235559867223,"0.574833333333333","0.997033333333333",0.170321075695366,0.219606590233247,0.144539616826518,-0.22704068579068,0.0326397400921275,0.0988836585050033,0.194072193759172,0.292219026456798,0.669517107969789,"0.1895",-0.637181385124557,-0.0999732146092978,0.121319811364382,0.379196748538453,1.60587940153178,1,0.33,NA,NA,NA,NA,NA,0,NA,"PRV"
"19","pspv",-0.00714425706232552,0.0162222709578882,-0.00479823149074687,-0.0444194381835848,-0.0147047404012234,-0.00797298458900032,-0.00221490074612186,0.00180267581870818,0.0205103991374609,"0.689033333333333","0.998933333333333",-0.00740417070291403,0.00530034411351004,-0.00626072794332599,-0.0204022543661367,-0.0102892304956795,-0.00765365234104264,-0.00502764885283304,-0.0033518684914352,-0.000638598718410732,"0.9962",-0.281016588884122,0.0274173185414507,0.1765750624006,0.329894174187411,0.674398012857566,53,0.197,-0.68613895361543,-0.2606136459386,-0.053036949299205,0.141576263296306,0.572107706233084,51,0.577,"PSPV"
"20","rib",0.008198891466711,0.0606615010285902,0.0110264005923476,-0.119710002414999,-0.0187923022894267,0.000615560229724546,0.0209071991322346,0.036473744381971,0.128903861626957,"0.394366666666667","0.998066666666667",-0.0169305466429906,0.0183295141635336,-0.0169033163819891,-0.0534955932550948,-0.0291976174345278,-0.021470121952528,-0.0121971087272581,-0.00456018416133058,0.0187608318562417,"0.8214",-0.390480041867867,-0.216535743096839,-0.130477558334745,-0.0428676240179239,0.168423647247853,NA,0.851,-0.446011575204093,-0.184128452879765,-0.0626277134341991,0.0585808712022103,0.322090668022505,NA,0.647,"RIB"
"21","richness",0.00252003375122811,0.00270050677176976,0.00241693736489759,-0.00256314709111776,0.000818941140472077,0.00180592685219111,0.003050999845896,0.00414486776171672,0.00809053475689813,"0.155266666666667","0.999",-0.00543243433624292,0.0023640164735221,-0.00544821616022201,-0.0100991442903837,-0.00701309548058041,-0.00603011059835714,-0.0048467748274945,-0.00384658814401135,-0.000797680664190552,"0.9893",-0.356432025991705,-0.193417111806675,-0.112674783054518,-0.0291451116146159,0.143033969270345,NA,0.8155,-0.520335337675629,-0.267644687115847,-0.150392398898425,-0.0282406349938032,0.229757934661328,NA,0.7905,"Richness"
